title,release_date,developer,publisher,tags,bundle,music
Dota 2,"9 Jul, 2013",Valve,Valve,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,RPG,Tower Defense,Fantasy,Character Customization,Replay Value,Action RPG,Simulation",,
Counter-Strike 2,"21 Aug, 2012",Valve,Valve,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable",,
Path of Exile 2,"6 Dec, 2024",Grinding Gear Games,Grinding Gear Games,"Action RPG,Hack and Slash,Action,Souls-like,RPG,Dark Fantasy,Isometric,Adventure,Loot,Dungeon Crawler,MMORPG,Free to Play,Multiplayer,Character Customization,Horror,Crafting,Online Co-Op,Inventory Management,Early Access,Dark",,Buy Path of Exile 2 - Path of Exile 2 Early Access Supporter Pack
MiSide,,AIHASTO,,"Psychological Horror,Story Rich,Cute,First-Person,Horror,Singleplayer,3D,Atmospheric,Thriller,Adventure,Conversation,Simulation,Drama,2D,RPG,Puzzle,Life Sim,Action-Adventure,Modern,Hidden Object",,
PUBG: BATTLEGROUNDS,"21 Dec, 2017",PUBG Corporation,"KRAFTON, Inc.","Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth",,
Hunt: Showdown 1896,"27 Aug, 2019",Crytek,Crytek,"Open World,Extraction Shooter,Atmospheric,Multiplayer,Tactical,FPS,Perma Death,Western,PvP,Shooter,Horror,Online Co-Op,Survival Horror,Co-op,Difficult,Battle Royale,Team-Based,Action,Gore,Zombies",,Buy Hunt: Showdown 1896
ARK: Survival Ascended,"25 Oct, 2023",Studio Wildcard,Studio Wildcard,"Early Access,Survival,Open World,Multiplayer,Dinosaurs,Adventure,Building,Crafting,Base Building,Action,Sandbox,Character Customization,PvE,PvP,Singleplayer,Massively Multiplayer,Inventory Management,RPG,Sci-fi,Fantasy",,Buy ARK: Survival Ascended
Killing Floor 2,"18 Nov, 2016",Tripwire Interactive,Tripwire Interactive,"Zombies,Online Co-Op,Multiplayer,FPS,Gore,Post-apocalyptic,Hack and Slash,Horror,Action,Shooter,Moddable,First-Person,Survival,Co-op,Survival Horror,Team-Based,Atmospheric,PvE,Character Customization,Dark",,Buy Killing Floor 2
RIPOUT,"28 May, 2024",Pet Project Games,3D Realms,"Online Co-Op,FPS,Horror,First-Person,Shooter,PvE,Survival,Sci-fi,Action,Atmospheric,Science,Aliens,Dark,Space,Exploration,Destruction,Survival Horror,Hero Shooter,Character Customization,Combat",,Buy RIPOUT
Blood West,"5 Dec, 2023",Hyperstrange,New Blood Interactive,"FPS,Open World,Western,Stealth,RPG,Retro,Horror,1990's,First-Person,Shooter,Souls-like,Immersive Sim,Action,Singleplayer,Survival Horror,Inventory Management,Dark,Lovecraftian,Survival,Demons",,Buy Blood West
